Distance,Cr_at,Fe_at,Ni_at,Mn_at,C_at
0,0.353423905,95.69257094,0.981127748,1.684342369,0.51943956
10,15.34013349,53.91033116,27.87396058,0.735373346,0.802974087
20,20.79943994,38.7368598,36.40324108,0.687092948,1.063104
30,24.62018089,28.9406122,42.42084743,0.646354326,0.956666667
40,26.9968824,23.49399917,46.23770025,0.612489883,0.787048786
50,28.31094418,20.88617616,48.41418341,0.584757722,0.589759054
60,28.95669878,19.81093542,49.52994401,0.562384652,0.442134335
70,29.23874849,19.42916795,50.04416482,0.544603103,0.331672136
80,29.34824127,19.31244779,50.25721795,0.530680651,0.249017297
90,29.3860195,19.28171987,50.33657437,0.519941647,0.187169693
100,29.39760428,19.27475446,50.3631466,0.511781192,0.140891383
110,29.4007616,19.27339499,50.37114534,0.505672238,0.106263011
120,29.40152636,19.27316654,50.37330984,0.501166961,0.080351861
130,29.40169099,19.27313349,50.37383637,0.497893719,0.060963492
140,29.40172249,19.27312937,50.37395152,0.495550909,0.046455881
150,29.40172784,19.27312893,50.37397415,0.493898955,0.035600365
160,29.40172865,19.27312889,50.37397815,0.492751433,0.027477577
170,29.40172876,19.27312889,50.37397879,0.49196615,0.021399592
180,29.40172877,19.27312889,50.37397888,0.491436739,0.016851656
190,29.40172877,19.27312889,50.37397889,0.491085128,0.013448602
200,29.40172877,19.27312889,50.37397889,0.490855072,0.01090222
210,29.40172877,19.27312889,50.37397889,0.490706783,0.008996856
220,29.40172877,19.27312889,50.37397889,0.49061262,0.007571141
230,29.40172877,19.27312889,50.37397889,0.490553714,0.00650433
240,29.40172877,19.27312889,50.37397889,0.490517411,0.005706075
250,29.40172877,19.27312889,50.37397889,0.49049537,0.005108769
260,29.40172877,19.27312889,50.37397889,0.490482188,0.004661827
270,29.40172877,19.27312889,50.37397889,0.49047442,0.004327397
280,29.40172877,19.27312889,50.37397889,0.490469911,0.004077155
290,29.40172877,19.27312889,50.37397889,0.490467332,0.003889908
300,29.40172877,19.27312889,50.37397889,0.49046588,0.003749798
310,29.40172877,19.27312889,50.37397889,0.490465073,0.003644959
320,29.40172877,19.27312889,50.37397889,0.490464633,0.003566511
330,29.40172877,19.27312889,50.37397889,0.490464395,0.003507812
340,29.40172877,19.27312889,50.37397889,0.490464269,0.003463889
350,29.40172877,19.27312889,50.37397889,0.490464203,0.003431024
360,29.40172877,19.27312889,50.37397889,0.490464169,0.003406431
370,29.40172877,19.27312889,50.37397889,0.490464152,0.00338803
380,29.40172877,19.27312889,50.37397889,0.490464144,0.003374261
390,29.40172877,19.27312889,50.37397889,0.490464139,0.003363958
400,29.40172877,19.27312889,50.37397889,0.490464137,0.003363958
