y,Cr,E1,E2,E3,E4,E5,E6
-140,0.003508536,0.000149806,8.73E-05,0.000165446,0.000189737,0.000192095,0.000188163
-130,0.003442204,7.13E-05,0.000122748,0.00011873,0.000171808,0.000116866,0.000173899
-120,0.002804636,0.000178307,0.000237259,0.00021466,0.000220983,0.00017642,0.000175031
-110,0.004049398,0.000228512,0.000220662,0.00022025,0.00020363,0.000229723,0.000241881
-100,0.004274447,0.000222237,0.000254546,0.000224407,0.000228316,0.000213586,0.000210177
-90,0.004022671,0.000258475,0.00026871,0.000269616,0.000257534,0.000284994,0.000247708
-80,0.004615375,0.000265962,0.000337718,0.000292517,0.000253126,0.000279077,0.000275321
-70,0.004138616,0.000271044,0.000280232,0.000280035,0.000238164,0.000257091,0.000266851
-60,0.00468819,0.000279735,0.000309254,0.000307009,0.000259679,0.000269333,0.000243538
-50,0.003864209,0.000330754,0.00027771,0.000315865,0.000296407,0.000286942,0.000267118
-40,0.004392135,0.000370651,0.000311852,0.000335115,0.000324092,0.00029866,0.000298602
-30,0.005706633,0.000478365,0.00052845,0.000503779,0.000471452,0.000429188,0.000361996
-20,0.006587107,0.000659263,0.000625368,0.000580955,0.000598157,0.000604528,0.000526367
-10,0.007990419,0.001422134,0.001885062,0.001626172,0.002051336,0.001232341,0.000871495
0,0.010457149,0.004637268,0.005948014,0.005589653,0.005573438,0.004989844,0.00320892
10,0.080160227,0.008187388,0.0095573,0.008976107,0.008281963,0.008308841,0.00701634
20,0.175886837,0.006697787,0.004833422,0.004942977,0.004316806,0.006836049,0.008928328
30,0.215927888,0.002506686,0.003087301,0.001807842,0.001853665,0.002941038,0.004219332
40,0.247697276,0.000876189,0.00337931,0.000695744,0.000818344,0.001307247,0.001958663
50,0.266780652,0.000671659,0.003310923,0.000738632,0.000333403,0.000687643,0.001052432
60,0.276176053,0.000279299,0.002516504,0.001049411,0.000532251,0.000571399,0.00066292
70,0.281779849,0.000475553,0.002003958,0.000901166,0.000489635,0.000744694,0.000759403
80,0.290005874,0.000322395,0.001050546,0.000298583,0.000355856,0.000494113,0.000714996
90,0.297227134,0.000791879,0.001046188,0.000203488,0.000279707,0.000376975,0.000622247
100,0.298646904,0.000749861,0.00022944,0.000179745,0.000334978,0.000416047,0.000548281
110,0.299414326,0.000749158,2.69E-05,0.000127577,0.000205883,0.00021821,0.000389326
120,0.298818051,0.000471737,9.27E-05,1.67E-05,0.000205789,0.000258888,0.000407184
130,0.303026724,0.000289301,3.89E-05,8.77E-05,0.000301181,0.000236975,0.000403575
140,0.302760445,0.000253435,2.71E-14,0.000462855,0.000591716,0.000454115,0.000463905
150,0.301688608,0.000520948,2.29E-14,0.000513093,0.001498077,0.000687747,0.00084092
160,0.295584968,0.000287855,8.69E-05,0.000309129,0.001322116,0.001126678,0.001220347
