Distance,C_at,Cr_at,Ni_at,Fe_at,Mn_at
-410,2.67E-08,0.293860063,0.504137346,0.201992249,1.03E-05
-400,3.76E-08,0.293860063,0.504137346,0.201992249,1.03E-05
-390,5.29E-08,0.293860063,0.504137346,0.201992249,1.03E-05
-380,7.42E-08,0.293860063,0.504137346,0.201992249,1.03E-05
-370,1.04E-07,0.293860063,0.504137346,0.201992249,1.03E-05
-360,1.47E-07,0.293860063,0.504137346,0.201992249,1.03E-05
-350,2.06E-07,0.293860063,0.504137346,0.201992249,1.03E-05
-340,2.89E-07,0.293860063,0.504137346,0.201992249,1.03E-05
-330,4.06E-07,0.293860063,0.504137346,0.201992249,1.03E-05
-320,5.71E-07,0.293860063,0.504137346,0.201992249,1.03E-05
-310,8.03E-07,0.293860063,0.504137346,0.201992249,1.03E-05
-300,1.13E-06,0.293860063,0.504137346,0.201992249,1.03E-05
-290,1.58E-06,0.293860063,0.504137346,0.201992249,1.03E-05
-280,2.23E-06,0.293860063,0.504137346,0.201992249,1.03E-05
-270,3.13E-06,0.293860063,0.504137346,0.201992249,1.03E-05
-260,4.39E-06,0.293860063,0.504137346,0.201992249,1.03E-05
-250,6.17E-06,0.293860063,0.504137346,0.201992249,1.03E-05
-240,8.67E-06,0.293860063,0.504137346,0.201992249,1.03E-05
-230,1.22E-05,0.293860063,0.504137346,0.201992249,1.03E-05
-220,1.71E-05,0.293860063,0.504137346,0.201992249,1.03E-05
-210,2.40E-05,0.293860061,0.504137346,0.201992249,1.03E-05
-200,3.38E-05,0.293860056,0.504137345,0.20199225,1.03E-05
-190,4.75E-05,0.29386003,0.504137339,0.201992258,1.03E-05
-180,6.67E-05,0.293859921,0.504137307,0.201992301,1.03E-05
-170,9.37E-05,0.293859496,0.504137153,0.201992509,1.03E-05
-160,0.000131607,0.293857958,0.504136485,0.201993437,1.03E-05
-150,0.000184901,0.293852783,0.504133811,0.201997225,1.03E-05
-140,0.000259777,0.293836607,0.504123969,0.202011424,1.03E-05
-130,0.000364973,0.293789632,0.504090701,0.202060249,1.03E-05
-120,0.000512768,0.293662889,0.503987388,0.202214286,1.03E-05
-110,0.000720412,0.293345167,0.503692626,0.202660129,1.03E-05
-100,0.001012141,0.292605168,0.502919988,0.203844054,1.03E-05
-90,0.001422005,0.291003848,0.501059307,0.206728439,1.03E-05
-80,0.001997843,0.287784342,0.496942512,0.213175634,1.03E-05
-70,0.002806864,0.281770312,0.488574148,0.226397073,1.03E-05
-60,0.003943497,0.271332537,0.472945652,0.251272964,1.03E-05
-50,0.005540407,0.254501261,0.446129866,0.294213948,1.03E-05
-40,0.007783981,0.229284247,0.403856996,0.362221948,1.06E-05
-30,0.01064346,0.194181721,0.342631568,0.461041703,3.55E-05
-20,0.01088417,0.148782163,0.261160834,0.592783676,0.000671981
-10,0.00876174,0.094227256,0.161557981,0.753923117,0.005611927
0,0,0.00754,0.00712,0.974349,1.46E-02
