Distance,Cr_at,Fe_at,Ni_at,Mn_at,C_at
0,0.784535992,96.06762603,1.586376106,1.434001278,0
10,16.09400932,51.32787766,28.5818528,0.765881352,0.876174
20,19.42122222,43.71037052,33.58026197,0.727944357,1.088417
30,22.16845617,37.41407322,37.76982552,0.693290686,1.064346
40,24.34318598,32.39326836,41.16207551,0.661856454,0.726226102
50,25.99366313,28.53069109,43.81539149,0.633540989,0.437394488
60,27.19456687,25.66389571,45.8201964,0.608212351,0.271047966
70,28.03229145,23.61116567,47.28350942,0.585713143,0.175244168
80,28.59255016,22.19314502,48.31528273,0.56586637,0.120067977
90,28.95177812,21.2481081,49.01805274,0.548481165,0.088290405
100,29.17260184,20.64049035,49.48045929,0.533358197,0.069988777
110,29.30274317,20.26358918,49.77437073,0.520294639,0.059448338
120,29.37627554,20.03804075,49.95483477,0.509088573,0.053377792
130,29.41610785,19.90782385,50.06187487,0.499542776,0.049881589
140,29.43679429,19.83529514,50.12320641,0.491467851,0.047868024
150,29.44709411,19.79632179,50.15715351,0.484684692,0.046708353
160,29.45201073,19.77611766,50.17530461,0.479026304,0.046040465
170,29.4542608,19.76601286,50.18467989,0.474339025,0.045655809
180,29.45524803,19.76113724,50.18935775,0.47048321,0.045434274
190,29.4556633,19.75886766,50.19161246,0.467333441,0.045306686
200,29.45583077,19.75784842,50.19266228,0.464778337,0.045233204
210,29.45589552,19.75740682,50.19313448,0.462720051,0.045190884
220,29.45591952,19.75722224,50.19333965,0.461073519,0.04516651
230,29.45592805,19.75714781,50.19342576,0.459765537,0.045152473
240,29.45593096,19.75711885,50.19346068,0.458733725,0.045144388
250,29.45593191,19.75710799,50.19347435,0.457925436,0.045139732
260,29.45593221,19.75710405,50.19347953,0.457296654,0.04513705
270,29.45593229,19.75710268,50.19348142,0.456810917,0.045135506
280,29.45593232,19.75710221,50.19348208,0.456438295,0.045134616
290,29.45593233,19.75710206,50.19348231,0.456154435,0.045134104
300,29.45593233,19.75710202,50.19348239,0.455939698,0.045133809
310,29.45593233,19.757102,50.19348241,0.455778383,0.045133639
320,29.45593233,19.757102,50.19348242,0.455658042,0.045133541
330,29.45593233,19.757102,50.19348242,0.455568892,0.045133485
340,29.45593233,19.757102,50.19348242,0.45550331,0.045133453
350,29.45593233,19.757102,50.19348242,0.4554554,0.045133434
360,29.45593233,19.757102,50.19348242,0.455420643,0.045133423
370,29.45593233,19.757102,50.19348242,0.455395605,0.045133417
380,29.45593233,19.757102,50.19348242,0.455377693,0.045133413
390,29.45593233,19.757102,50.19348242,0.455364968,0.045133411
400,29.45593233,19.757102,50.19348242,0.455355991,0.04513341
