Label,No,X,Y,,,Z,FL,W%(C ) ,W%(Cr) ,W%(Mn) ,W%(Fe) ,W%(Ni) ,C_at,Cr_at,Mn_at,Fe_at,Ni_at
interf2/1_70,70,12244,-1923,221,217,94,217.0362863,0.034,27.2272,0.5274,18.7476,50.6755,0.1634,30.1824,0.5533,19.3493,49.7516
interf2/1_69,69,12244,-1919,217,213,94,213.0370704,0.0211,26.4693,0.4533,19.5918,50.8947,0.1013,29.311,0.4751,20.1991,49.9135
interf2/1_68,68,12244,-1914,212,208,94,208.0380802,0.0168,26.2673,0.4388,20.0027,51.2401,0.0803,28.9417,0.4576,20.5196,50.0008
interf2/1_67,67,12244,-1910,208,204,94,204.038913,0.0412,26.7093,0.5111,19.056,50.9482,0.1979,29.5996,0.5361,19.6619,50.0046
interf2/1_66,66,12244,-1905,203,199,94,199.0399866,0.0287,26.7389,0.4417,19.4238,50.866,0.1375,29.5736,0.4624,20.0016,49.8249
interf2/1_65,65,12244,-1901,199,195,94,195.0408728,0.0477,26.1591,0.4256,19.8605,51.3992,0.2273,28.8158,0.4437,20.3689,50.1443
interf2/1_64,64,12243,-1896,194,190,94,190.0222361,0.0478,27.0674,0.4764,18.8698,50.8196,0.2289,29.9745,0.4993,19.4554,49.8418
interf2/1_63,63,12243,-1892,190,186,94,186.0228923,0.0384,26.2898,0.4059,19.7159,51.3049,0.1834,29.0065,0.4238,20.2533,50.133
interf2/1_62,62,12243,-1888,186,182,94,182.023568,0.0292,26.3132,0.405,19.869,51.4448,0.1391,28.9527,0.4217,20.3546,50.1319
interf2/1_61,61,12243,-1883,181,177,94,177.0244413,0.0452,26.6648,0.4444,19.3831,51.041,0.216,29.4536,0.4646,19.934,49.9318
interf2/1_60,60,12243,-1879,177,173,94,173.025164,0.0111,26.2673,0.4115,19.7166,51.6084,0.0528,28.9389,0.429,20.224,50.3552
interf2/1_59,59,12243,-1874,172,168,94,168.0260991,0.0241,26.0315,0.3925,19.7949,51.53,0.1152,28.7405,0.4101,20.3478,50.3863
interf2/1_58,58,12243,-1870,168,164,94,164.026874,0.1047,26.4214,0.4193,19.571,51.4397,0.4979,29.0186,0.4359,20.0125,50.0351
interf2/1_57,57,12243,-1866,164,160,94,160.0276738,0.0134,26.4894,0.4613,19.398,51.1914,0.064,29.3084,0.483,19.9824,50.1621
interf2/1_56,56,12243,-1861,159,155,94,155.0287105,0.0013,26.5744,0.4914,19.1691,51.1281,0.0061,29.4703,0.5158,19.7921,50.2157
interf2/1_55,55,12243,-1857,155,151,94,151.0295712,0.0327,26.8779,0.4445,18.9524,51.22,0.1565,29.7164,0.4651,19.509,50.1531
interf2/1_54,54,12243,-1852,150,146,94,146.0306884,0.0173,26.5646,0.4758,19.1776,51.4065,0.0827,29.362,0.4977,19.7354,50.3221
interf2/1_53,53,12243,-1848,146,142,94,142.0316171,0.0369,26.9535,0.5053,18.9856,51.0986,0.1766,29.7752,0.5284,19.527,49.9928
interf2/1_52,52,12242,-1843,141,137,94,137.0128284,0.0146,27.0257,0.4735,19.0373,51.1486,0.0697,29.8425,0.4949,19.572,50.0209
interf2/1_51,51,12242,-1839,137,133,94,133.0134718,0.0365,26.6219,0.46,19.0287,51.2727,0.1749,29.4682,0.482,19.6107,50.2642
interf2/1_50,50,12242,-1835,133,129,94,129.0141389,0.0519,26.7432,0.4997,18.9552,50.978,0.2489,29.6366,0.5241,19.5575,50.0328
interf2/1_49,49,12242,-1830,128,124,94,124.0150082,0.0195,26.7759,0.4519,19.1083,51.4092,0.0934,29.5511,0.472,19.6346,50.249
interf2/1_48,48,12242,-1826,124,120,94,120.0157336,0.0754,26.2309,0.445,19.6393,51.7732,0.3583,28.7884,0.4622,20.0679,50.3232
interf2/1_47,47,12242,-1821,119,115,94,115.0166807,0.0334,26.8358,0.4978,18.6998,51.1116,0.1605,29.775,0.5227,19.3173,50.2245
