y,Cr,E1,E2,E3,E4,E5,E6
-150,0.003326785,0.001434653,0.001268366,0.001602494,0.001586234,0.001250337,0.000943826
-140,0.003373468,0.001251956,0.001166528,0.001303878,0.001188042,0.001126038,0.001431777
-130,0.003624653,0.001478575,0.001416985,0.001537726,0.001411982,0.001363149,0.001241561
-120,0.00376434,0.001257808,0.001255962,0.001233073,0.0010185,0.001229313,0.001304005
-110,0.003578516,0.001273894,0.001171196,0.001201769,0.001196127,0.001200153,0.000954676
-100,0.003341224,0.001106683,0.000931341,0.000952737,0.0010174,0.001207017,0.001168357
-90,0.003526301,0.001049448,0.000796983,0.000866553,0.000857916,0.000863978,0.001091696
-80,0.003781876,0.001096801,0.000892996,0.001003908,0.001030852,0.000926676,0.000858431
-70,0.00393397,0.001197157,0.000929309,0.001062294,0.001023018,0.000979246,0.001022598
-60,0.004101976,0.0013649,0.001242695,0.000944752,0.000936875,0.001234907,0.001040396
-50,0.00410746,0.001178303,0.001238049,0.000942499,0.000939841,0.000908386,0.001017418
-40,0.0049312,0.001310228,0.000851359,0.000978317,0.001161575,0.001035955,0.000964899
-30,0.004366571,0.001247066,0.000783669,0.001081582,0.001222901,0.000942788,0.001134864
-20,0.005535027,0.001221978,0.001222032,0.001188871,0.001196622,0.001164504,0.001163663
-10,0.005076778,0.001473177,0.000994292,0.001197836,0.001479755,0.001179158,0.00125768
0,0.008341171,0.003048881,0.002173385,0.003331403,0.004231275,0.002684647,0.001705465
10,0.030216227,0.004306597,0.004311563,0.005604859,0.00636892,0.005863714,0.004826736
20,0.115698818,0.003751564,0.00524582,0.005413392,0.005426215,0.007071619,0.007558919
30,0.161891012,0.002041094,0.003404785,0.002917366,0.002469255,0.004178061,0.006516331
40,0.187236244,0.001054469,0.001641004,0.0015102,0.001264287,0.001841294,0.003184534
50,0.206761047,0.000792999,0.001125472,0.001069058,0.000954622,0.001306542,0.001596674
60,0.217019736,0.000794521,0.001203185,0.001154613,0.001112403,0.001192161,0.001159996
70,0.227208503,0.000764666,0.001218136,0.001028379,0.001021405,0.001199358,0.001292375
80,0.23940348,0.000704931,0.001236582,0.000942403,0.000920084,0.00114996,0.001252435
90,0.24904587,0.000625209,0.001070214,0.000803706,0.000808529,0.00101235,0.001196309
100,0.255004683,0.00058358,0.000914433,0.000701619,0.000690706,0.000869678,0.001034617
110,0.257903943,0.000510141,0.001519289,0.000556478,0.000560795,0.000707798,0.000895095
120,0.259314782,0.000391097,0.002508061,0.000404104,0.000440527,0.000580884,0.00074632
130,0.262979449,0.000405888,0.00655734,0.000295893,0.000362753,0.000492769,0.00067607
140,0.266613646,0.00017129,0.013166814,0.000267563,0.000331233,0.000399182,0.000743924
150,0.269528581,0.000529705,0.013972625,0.000377985,0.000633556,0.000490641,0.000656925
